Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	svtype	program	sample	technology	coverage	experiment
18698	5763	93	681	25298	4514	17593	1517	TOT	kanpig	HG00733	r10	32x	ts
7742	998	39	680	10978	303	5474	725	DEL	svjedi	HG00733	r10	32x	ts
10641	4866	268	0	17845	474	8286	4409	INS	svjedi	HG00733	r10	32x	ts
18383	5864	307	680	28823	777	13760	5134	TOT	svjedi	HG00733	r10	32x	ts
7079	1664	36	680	10384	897	5331	874	DEL	sniffles	HG00733	r10	32x	ts
8973	6714	88	0	16716	1780	7817	5061	INS	sniffles	HG00733	r10	32x	ts
16052	8378	124	680	27100	2677	13148	5935	TOT	sniffles	HG00733	r10	32x	ts
6325	2454	0	680	8989	2335	5776	458	DEL	cutesv	HG00733	r10	32x	ts
8418	7252	105	105	13940	4551	9720	3129	INS	cutesv	HG00733	r10	32x	ts
14743	9706	105	785	22929	6886	15496	3587	TOT	cutesv	HG00733	r10	32x	ts
6581	1342	0	0	9395	510	5005	936	DEL	kanpig	HG00733	r10	32x	ds
7925	5261	0	0	13543	3215	7426	2188	INS	kanpig	HG00733	r10	32x	ds
14506	6603	0	0	22938	3725	12431	3124	TOT	kanpig	HG00733	r10	32x	ds
6432	1458	0	0	9661	909	4575	635	DEL	svjedi	HG00733	r10	32x	ds
7307	5760	0	0	14426	4697	5846	1165	INS	svjedi	HG00733	r10	32x	ds
13739	7218	0	0	24087	5606	10421	1800	TOT	svjedi	HG00733	r10	32x	ds
6565	1424	0	0	9568	690	4879	841	DEL	sniffles	HG00733	r10	32x	ds
7458	5982	0	0	14153	4283	6598	1846	INS	sniffles	HG00733	r10	32x	ds
14023	7406	0	0	23721	4973	11477	2687	TOT	sniffles	HG00733	r10	32x	ds
6029	2038	0	0	8751	539	5097	1747	DEL	cutesv	HG00733	r10	32x	ds
7370	5907	0	0	13429	3713	7014	2398	INS	cutesv	HG00733	r10	32x	ds
13399	7945	0	0	22180	4252	12111	4145	TOT	cutesv	HG00733	r10	32x	ds
6720	1209	0	0	9711	656	4858	633	DEL	orig	HG00733	r10	32x	ds
7876	5321	0	0	14566	4239	6405	1184	INS	orig	HG00733	r10	32x	ds
14596	6530	0	0	24277	4895	11263	1817	TOT	orig	HG00733	r10	32x	ds
7115	1624	40	681	9778	1499	5938	263	DEL	kanpig	HG00733	r9	32x	ts
10474	5235	66	0	14154	4367	11780	1117	INS	kanpig	HG00733	r9	32x	ts
17589	6859	106	681	23932	5866	17718	1380	TOT	kanpig	HG00733	r9	32x	ts
7811	934	34	680	11023	263	5508	696	DEL	svjedi	HG00733	r9	32x	ts
10903	4690	182	0	18000	408	8483	4295	INS	svjedi	HG00733	r9	32x	ts
18714	5624	216	680	29023	671	13991	4991	TOT	svjedi	HG00733	r9	32x	ts
7023	1716	40	680	10339	937	5309	893	DEL	sniffles	HG00733	r9	32x	ts
8553	7132	90	0	16610	1879	7491	5390	INS	sniffles	HG00733	r9	32x	ts
15576	8848	130	680	26949	2816	12800	6283	TOT	sniffles	HG00733	r9	32x	ts
6276	2503	0	680	8945	2379	5769	465	DEL	cutesv	HG00733	r9	32x	ts
8109	7561	105	105	13802	4689	9537	3312	INS	cutesv	HG00733	r9	32x	ts
14385	10064	105	785	22747	7068	15306	3777	TOT	cutesv	HG00733	r9	32x	ts
6321	1660	0	0	9054	472	5081	1355	DEL	kanpig	HG00733	r9	32x	ds
6703	6613	0	0	11722	2818	7956	4136	INS	kanpig	HG00733	r9	32x	ds
13024	8273	0	0	20776	3290	13037	5491	TOT	kanpig	HG00733	r9	32x	ds
6386	1429	0	0	9557	874	4555	644	DEL	svjedi	HG00733	r9	32x	ds
7245	5707	0	0	14145	4516	5941	1302	INS	svjedi	HG00733	r9	32x	ds
13631	7136	0	0	23702	5390	10496	1946	TOT	svjedi	HG00733	r9	32x	ds
6474	1542	0	0	9434	674	4932	992	DEL	sniffles	HG00733	r9	32x	ds
7080	6328	0	0	13943	4486	6358	2029	INS	sniffles	HG00733	r9	32x	ds
13554	7870	0	0	23377	5160	11290	3021	TOT	sniffles	HG00733	r9	32x	ds
6018	2063	0	0	8750	545	5116	1751	DEL	cutesv	HG00733	r9	32x	ds
7235	6039	0	0	13304	3734	7009	2501	INS	cutesv	HG00733	r9	32x	ds
13253	8102	0	0	22054	4279	12125	4252	TOT	cutesv	HG00733	r9	32x	ds
6720	1209	0	0	9711	656	4858	633	DEL	orig	HG00733	r9	32x	ds
7876	5321	0	0	14566	4239	6405	1184	INS	orig	HG00733	r9	32x	ds
14596	6530	0	0	24277	4895	11263	1817	TOT	orig	HG00733	r9	32x	ds
