Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	num_neigh	program	sample	technology	coverage	experiment
8	140	0	0	10	139	145	2	6	cutesv	HG002	r10	32x	ts
7	94	0	0	7	94	101	0	7	cutesv	HG002	r10	32x	ts
2	92	0	0	2	95	91	0	8	cutesv	HG002	r10	32x	ts
0	19	0	0	0	19	19	0	9	cutesv	HG002	r10	32x	ts
0	46	0	0	0	46	46	0	10	cutesv	HG002	r10	32x	ts
11297	1210	0	0	15705	166	7971	1172	0	kanpig	HG002	r10	32x	ds
2478	4378	0	0	5895	3198	3360	1259	1	kanpig	HG002	r10	32x	ds
561	506	0	0	854	247	743	290	2	kanpig	HG002	r10	32x	ds
183	262	0	0	311	117	314	148	3	kanpig	HG002	r10	32x	ds
85	95	0	0	128	41	134	57	4	kanpig	HG002	r10	32x	ds
35	54	0	0	41	5	79	53	5	kanpig	HG002	r10	32x	ds
6	47	0	0	12	6	47	41	6	kanpig	HG002	r10	32x	ds
2	30	0	0	2	0	32	30	7	kanpig	HG002	r10	32x	ds
1	22	0	0	1	0	22	23	8	kanpig	HG002	r10	32x	ds
0	12	0	0	0	0	12	12	9	kanpig	HG002	r10	32x	ds
1	35	0	0	1	0	36	35	10	kanpig	HG002	r10	32x	ds
11465	1018	0	0	15952	234	7885	895	0	svjedi	HG002	r10	32x	ds
1648	5221	0	0	6646	4762	1815	515	1	svjedi	HG002	r10	32x	ds
494	556	0	0	964	416	561	159	2	svjedi	HG002	r10	32x	ds
175	237	0	0	357	168	228	71	3	svjedi	HG002	r10	32x	ds
73	78	0	0	144	69	78	11	4	svjedi	HG002	r10	32x	ds
33	34	0	0	47	13	51	23	5	svjedi	HG002	r10	32x	ds
8	12	0	0	15	7	13	5	6	svjedi	HG002	r10	32x	ds
5	0	0	0	5	0	5	0	7	svjedi	HG002	r10	32x	ds
2	0	0	0	2	0	2	0	8	svjedi	HG002	r10	32x	ds
0	0	0	0	0	0	0	0	9	svjedi	HG002	r10	32x	ds
1	0	0	0	1	0	1	0	10	svjedi	HG002	r10	32x	ds
11378	1118	0	0	15841	210	7915	1026	0	sniffles	HG002	r10	32x	ds
2006	4916	0	0	6503	4265	2345	731	1	sniffles	HG002	r10	32x	ds
493	629	0	0	925	380	646	293	2	sniffles	HG002	r10	32x	ds
163	338	0	0	348	172	313	169	3	sniffles	HG002	r10	32x	ds
76	165	0	0	140	61	173	108	4	sniffles	HG002	r10	32x	ds
27	84	0	0	44	16	90	72	5	sniffles	HG002	r10	32x	ds
7	78	0	0	9	2	83	76	6	sniffles	HG002	r10	32x	ds
1	51	0	0	4	3	49	48	7	sniffles	HG002	r10	32x	ds
1	60	0	0	1	0	59	62	8	sniffles	HG002	r10	32x	ds
0	14	0	0	0	0	14	14	9	sniffles	HG002	r10	32x	ds
1	35	0	0	1	0	36	35	10	sniffles	HG002	r10	32x	ds
10970	1574	0	0	15296	159	8004	1629	0	cutesv	HG002	r10	32x	ds
1997	4889	0	0	5920	3741	2835	1276	1	cutesv	HG002	r10	32x	ds
445	607	0	0	690	210	747	457	2	cutesv	HG002	r10	32x	ds
156	321	0	0	258	97	364	235	3	cutesv	HG002	r10	32x	ds
58	145	0	0	79	20	176	131	4	cutesv	HG002	r10	32x	ds
15	78	0	0	26	11	78	71	5	cutesv	HG002	r10	32x	ds
5	52	0	0	9	4	53	48	6	cutesv	HG002	r10	32x	ds
2	30	0	0	2	0	32	30	7	cutesv	HG002	r10	32x	ds
1	27	0	0	1	0	26	29	8	cutesv	HG002	r10	32x	ds
0	15	0	0	0	0	15	15	9	cutesv	HG002	r10	32x	ds
1	18	0	0	1	0	19	18	10	cutesv	HG002	r10	32x	ds
11458	1080	0	0	16044	300	7861	871	0	orig	HG002	r10	32x	ds
2141	4768	0	0	6691	4283	2324	520	1	orig	HG002	r10	32x	ds
602	484	0	0	1028	353	644	147	2	orig	HG002	r10	32x	ds
214	222	0	0	393	165	256	58	3	orig	HG002	r10	32x	ds
99	71	0	0	156	54	113	17	4	orig	HG002	r10	32x	ds
49	28	0	0	62	11	64	17	5	orig	HG002	r10	32x	ds
14	11	0	0	25	11	14	0	6	orig	HG002	r10	32x	ds
6	0	0	0	6	0	6	0	7	orig	HG002	r10	32x	ds
5	1	0	0	6	1	5	0	8	orig	HG002	r10	32x	ds
0	0	0	0	0	0	0	0	9	orig	HG002	r10	32x	ds
1	0	0	0	1	0	1	0	10	orig	HG002	r10	32x	ds
10872	1775	0	0	15169	1886	8131	108	0	kanpig	HG002	r9	32x	ts
4653	3101	0	0	5925	2295	6392	896	1	kanpig	HG002	r9	32x	ts
1187	729	0	0	1474	652	1582	124	2	kanpig	HG002	r9	32x	ts
679	421	0	0	822	328	952	98	3	kanpig	HG002	r9	32x	ts
302	286	0	0	385	226	499	66	4	kanpig	HG002	r9	32x	ts
142	155	0	0	189	116	247	42	5	kanpig	HG002	r9	32x	ts
61	87	0	0	85	64	124	23	6	kanpig	HG002	r9	32x	ts
36	65	0	0	46	55	91	10	7	kanpig	HG002	r9	32x	ts
29	65	0	0	39	58	81	10	8	kanpig	HG002	r9	32x	ts
7	13	0	0	10	10	17	3	9	kanpig	HG002	r9	32x	ts
12	34	0	0	17	29	41	5	10	kanpig	HG002	r9	32x	ts
12084	526	0	0	16783	243	7894	300	0	svjedi	HG002	r9	32x	ts
3678	4007	0	0	7965	186	3392	3827	1	svjedi	HG002	r9	32x	ts
1316	588	0	0	2028	87	1192	501	2	svjedi	HG002	r9	32x	ts
746	348	0	0	1110	34	730	314	3	svjedi	HG002	r9	32x	ts
449	137	0	0	583	26	451	112	4	svjedi	HG002	r9	32x	ts
224	71	0	0	285	18	234	53	5	svjedi	HG002	r9	32x	ts
104	44	0	0	143	6	109	38	6	svjedi	HG002	r9	32x	ts
83	18	0	0	95	6	89	12	7	svjedi	HG002	r9	32x	ts
69	25	0	0	85	12	78	13	8	svjedi	HG002	r9	32x	ts
12	6	0	0	16	2	14	4	9	svjedi	HG002	r9	32x	ts
33	13	0	0	41	5	38	8	10	svjedi	HG002	r9	32x	ts
11541	1088	0	0	16129	908	7961	260	0	sniffles	HG002	r9	32x	ts
2421	5322	0	0	7492	717	2580	4697	1	sniffles	HG002	r9	32x	ts
883	1035	0	0	1679	449	1067	641	2	sniffles	HG002	r9	32x	ts
365	733	0	0	815	333	634	414	3	sniffles	HG002	r9	32x	ts
229	357	0	0	464	145	349	214	4	sniffles	HG002	r9	32x	ts
109	186	0	0	218	85	183	104	5	sniffles	HG002	r9	32x	ts
32	116	0	0	103	46	77	70	6	sniffles	HG002	r9	32x	ts
25	75	0	0	72	28	53	47	7	sniffles	HG002	r9	32x	ts
13	81	0	0	68	29	39	52	8	sniffles	HG002	r9	32x	ts
9	11	0	0	14	6	15	5	9	sniffles	HG002	r9	32x	ts
29	17	0	0	35	11	40	6	10	sniffles	HG002	r9	32x	ts
11074	1548	0	0	15429	1615	8049	151	0	cutesv	HG002	r9	32x	ts
2613	5123	0	0	6220	1982	3852	3418	1	cutesv	HG002	r9	32x	ts
576	1344	0	0	786	1346	1546	162	2	cutesv	HG002	r9	32x	ts
192	907	0	0	276	873	971	78	3	cutesv	HG002	r9	32x	ts
70	516	0	0	89	520	547	16	4	cutesv	HG002	r9	32x	ts
25	271	0	0	31	273	282	6	5	cutesv	HG002	r9	32x	ts
8	140	0	0	10	139	145	2	6	cutesv	HG002	r9	32x	ts
8	93	0	0	8	93	101	0	7	cutesv	HG002	r9	32x	ts
0	94	0	0	0	97	91	0	8	cutesv	HG002	r9	32x	ts
0	19	0	0	0	19	19	0	9	cutesv	HG002	r9	32x	ts
0	46	0	0	0	46	46	0	10	cutesv	HG002	r9	32x	ts
10453	2081	0	0	14608	97	8063	2300	0	kanpig	HG002	r9	32x	ds
2170	4691	0	0	5172	2810	3751	1989	1	kanpig	HG002	r9	32x	ds
